Script started on 2025-08-30 12:17:43+03:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="80" LINES="24"]
[?2004h]0;vboxuser@newlinuxtestname: ~[01;32mvboxuser@newlinuxtestname[00m:[01;34m~[00m$ ps aux
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
vboxuser    6548  0.0  0.6 1839548 24780 ?       Sl   12:10   0:00 /usr/bin/snap
root        7403  0.0  0.0      0     0 ?        I    12:11   0:00 [kworker/2:1-
vboxuser    7482  0.0  0.2 470860  8568 ?        Sl   12:12   0:00 /usr/libexec/
vboxuser    7491  0.0  0.2 399216  9116 ?        Sl   12:12   0:00 /usr/libexec/
root        7745  0.0  0.0      0     0 ?        I    12:15   0:00 [kworker/u18:
vboxuser    7805  0.1  1.3 562124 52556 ?        Ssl  12:15   0:00 /usr/libexec/
vboxuser    7812  0.0  0.1  19688  4780 pts/0    Ss   12:15   0:00 bash
root        7836  0.0  0.0      0     0 ?        I    12:17   0:00 [kworker/u20:
root        7837  0.0  0.0      0     0 ?        I    12:17   0:00 [kworker/u20:
vboxuser    7838  0.0  0.0  16972  2252 pts/0    S+   12:17   0:00 script ps-log
vboxuser    7839  0.0  0.1  19692  5016 pts/1    Ss   12:17   0:00 bash -i
root        7855  0.0  0.0      0     0 ?        I    12:19   0:00 [kworker/0:1]
root        7856  0.0  0.0      0     0 ?        I    12:19   0:00 [kworker/0:3-
root        7861  0.0  0.0      0     0 ?        I    12:20   0:00 [kworker/1:1]
root        7866  0.0  0.0      0     0 ?        I    12:20   0:00 [kworker/2:2]
vboxuser    7878  0.8  5.7 2102832 232392 ?      Sl   12:21   0:00 /usr/bin/naut
vboxuser    7910  7.1  6.2 2058344 250820 ?      Sl   12:21   0:05 /usr/bin/gnom
vboxuser    7941  0.0  0.1  23792  5540 pts/1    R+   12:22   0:00 ps aux
[?2004h]0;vboxuser@newlinuxtestname: ~[01;32mvboxuser@newlinuxtestname[00m:[01;34m~[00m$ ps ux
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
vboxuser    3739  0.0  0.3  21156 12756 ?        Ss   12:05   0:00 /usr/lib/syst
vboxuser    3744  0.0  0.0  21460  3656 ?        S    12:05   0:00 (sd-pam)
